nume_actiune,timestamp
Profesor creat,Wed May 12 23:19:39 EEST 2021
Profesor creat,Wed May 12 23:21:47 EEST 2021
Clasa creata,Wed May 12 23:21:52 EEST 2021
Student creat,Wed May 12 23:21:57 EEST 2021
Student creat,Wed May 12 23:22:03 EEST 2021
Student notat,Wed May 12 23:22:10 EEST 2021
Student notat,Wed May 12 23:22:20 EEST 2021
Interogare clase,Wed May 12 23:23:01 EEST 2021
Interogare profesori,Wed May 12 23:23:05 EEST 2021
Interogare materii,Wed May 12 23:23:08 EEST 2021
Interogare studenti,Wed May 12 23:23:10 EEST 2021
Interogare note student,Wed May 12 23:23:19 EEST 2021
Interogare profesori,12/05/2021
Interogare materii,12/05/2021
Interogare studenti,12/05/2021
Interogare note student,12/05/2021
